type,APIFieldName,description,dataType
acs_standard,geoname,Geographic Area common name,Text
acs_standard,geonum,"Comma delimited list (no quotes, leading zeros are necessary) of geoid examples: '08' is Colorado, '08031' is Denver County , '08031000701' is a Census Tract in Denver County, and '080010078011' is a block group in Adams County, and '0668154' is the city of San Luis Obispo, CA. You can also use the integer format for geoid called geonum by prefixing the geoid with ‘1’. San Luis Obispo would then be 10668154.",Text
acs_standard,geojson,"Well Known Text field (WKT) describing the boundaries of the area using comma separated x,y,z values - lat, long, elev)",Multipolygon
acs_standard,pop,Population Estimate for the given time range,Number
acs_standard,hispanic,Estimate for the Hispanic Population,Number
acs_standard,white_nh,"Estimate for the White, Non-Hispanic Population",Number
acs_standard,black_nh,"Estimate for the Black, Non-Hispanic Population",Number
acs_standard,ntvam_nh,"Estimate for the Native American, Non-Hispanic Population",Number
acs_standard,asian_nh,"Estimate for the Asian, Non-Hispanic Population",Number
acs_standard,hawpi_nh,"Estimate for the Hawaiian and Pacific Islander, Non-Hispanic Population",Number
acs_standard,other_nh,Estimate for the population of those identifying with any other race (Non-Hispanic),Number
acs_standard,twoplus_nh,Estimate for the population who identifies with more than one race (Non-Hispanic),Number
acs_standard,male,Estimate for the total male population,Number
acs_standard,female,Estimate for the total female population,Number
acs_standard,ageless5,Estimate for the total population less than 5 years of age (0 to 5),Number
acs_standard,age5_9,Estimate for the total population from 5 to 9 years of age,Number
acs_standard,age10_14,Estimate for the total population from 10 to 14 years of age,Number
acs_standard,age15_19,Estimate for the total population from 15 to 19 years of age,Number
acs_standard,age20_24,Estimate for the total population from 20 to 24 years of age,Number
acs_standard,age25_29,Estimate for the total population from 25 to 29 years of age,Number
acs_standard,age30_34,Estimate for the total population from 30 to 34 years of age,Number
acs_standard,age35_39,Estimate for the total population from 35 to 39 years of age,Number
acs_standard,age40_44,Estimate for the total population from 40 to 45 years of age,Number
acs_standard,age45_49,Estimate for the total population from 45 to 49 years of age,Number
acs_standard,age50_54,Estimate for the total population from 50 to 54 years of age,Number
acs_standard,age55_59,Estimate for the total population from 55 to 59 years of age,Number
acs_standard,age60_64,Estimate for the total population from 60 to 64 years of age,Number
acs_standard,age65_69,Estimate for the total population from 65 to 69 years of age,Number
acs_standard,age70_74,Estimate for the total population from 70 to 74 years of age,Number
acs_standard,age75_79,Estimate for the total population from 75 to 79 years of age,Number
acs_standard,age80_84,Estimate for the total population from 80 to 84 years of age,Number
acs_standard,age85pl,Estimate for the total population of 85 years of age or older,Number
acs_standard,ageless18,Estimate for the total population less than 18 years of age (0 to 17),Number
acs_standard,age18_24,Estimate for the total population from 18 to 24 years of age,Number
acs_standard,med_age,Median age of the population for the area,Number
acs_standard,households,Estimate for the total number of household,Number
acs_standard,familyhh,Estimate for the total number of family household,Number
acs_standard,nonfamhh,Estimate for the total number of nonfamily household,Number
acs_standard,hhldralone,Estimate for the total number of nonfamily households where householder lives alone,Number
acs_standard,hhldr_naln,Estimate for the total number of nonfamily households where householder does not live alone,Number
acs_standard,housing_un,Estimated total number of housing units,Number
acs_standard,occ_hu,Estimated number of occupied housing units,Number
acs_standard,vac_hu,Estimated number of vacant housing units,Number
acs_standard,owned,Estimated number of owner-occupied housing units,Number
acs_standard,rented,Estimated number of renter-occupied housing units,Number
acs_standard,pop25plus,Estimated total population 25 years or older (universe for educational attainment),Number
